id,crit,subcrit
70,Konsumsi BBM,Sedang
70,Kapasitas Penumpang,Sedikit
71,Harga,Mahal
71,Kapasitas Silinder,Tinggi
71,Transmisi,MT
71,Jenis BBM,Bensin
71,Konsumsi BBM,Sedang
71,Kapasitas Penumpang,Sedikit
72,Harga,Mahal
72,Kapasitas Silinder,Tinggi
72,Transmisi,AT
72,Jenis BBM,Bensin
72,Konsumsi BBM,Boros
72,Kapasitas Penumpang,Sedikit
73,Harga,Sedang
73,Kapasitas Silinder,Sedang
73,Transmisi,AT
73,Jenis BBM,Bensin
73,Konsumsi BBM,Irit
73,Kapasitas Penumpang,Sedang
74,Harga,Sedang
74,Kapasitas Silinder,Tinggi
74,Transmisi,MT
74,Jenis BBM,Diesel
74,Konsumsi BBM,Sedang
74,Kapasitas Penumpang,Banyak
75,Harga,Sedang
75,Kapasitas Silinder,Tinggi
75,Transmisi,AT
75,Jenis BBM,Bensin
75,Konsumsi BBM,Boros
75,Kapasitas Penumpang,Banyak
76,Harga,Mahal
76,Kapasitas Silinder,Tinggi
76,Transmisi,AT
76,Jenis BBM,Diesel
76,Konsumsi BBM,Boros
76,Kapasitas Penumpang,Sedang
77,Harga,Murah
77,Kapasitas Silinder,Rendah
77,Transmisi,MT
77,Jenis BBM,Bensin
77,Konsumsi BBM,Sedang
77,Kapasitas Penumpang,Sedang
78,Harga,Murah
78,Kapasitas Silinder,Rendah
78,Transmisi,AT
78,Jenis BBM,Bensin
78,Konsumsi BBM,Sedang
78,Kapasitas Penumpang,Sedang
79,Harga,Murah
79,Kapasitas Silinder,Sedang
79,Transmisi,AT
79,Jenis BBM,Bensin
79,Konsumsi BBM,Sedang
79,Kapasitas Penumpang,Banyak
